	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	174.02442	172.76792	38.83078	2.18541
	2	153.70263	152.47892	38.93331	2.19415
	3	142.89531	141.68750	38.70944	2.13882
	4	134.61908	133.46592	38.99043	2.17875
	5	128.12521	127.04933	38.20101	2.18971
	6	122.81596	121.71767	41.25376	2.16612
	7	118.47837	117.54067	38.90884	2.17485
	8	114.76019	113.86342	38.32942	2.17234
	9	111.71800	110.76783	37.99386	2.35359
	10	109.00794	108.15367	37.79857	2.17911
	11	106.68873	105.82850	37.73594	2.16896
	12	104.71298	103.81358	37.72753	2.18355
	13	102.95921	102.03392	37.89663	2.16414
	14	101.34437	100.36992	38.30218	2.20675
	15	99.87954	99.01658	38.70775	2.17761
	16	98.66454	97.69067	39.05944	2.14650
	17	97.46748	96.50842	38.22105	2.17760
	18	96.29998	95.46650	38.24243	2.21072
	19	95.38246	94.41475	37.99623	2.16156
	20	94.38858	93.48858	37.90260	2.17484
	21	93.52683	92.69933	38.33989	2.15584
	22	92.56135	91.80283	38.83308	2.17185
	23	91.79925	91.06317	38.30848	2.15421
	24	91.04404	90.16958	37.99510	2.16312
	25	90.35256	89.51375	38.71236	2.19418
	26	89.66798	88.80300	38.17431	2.14788
	27	88.94273	88.15133	38.42857	2.15570
	28	88.34044	87.43225	38.01884	2.19270
	29	87.72052	86.90975	38.21900	2.19041
	30	87.14175	86.37000	38.60677	2.16274
	31	86.63438	85.75667	37.76457	2.16200
	32	85.99800	85.32992	37.96706	2.19799
	33	85.49140	84.62592	38.13419	2.21123
	34	85.01592	84.21183	38.03735	2.16772
	35	84.49152	83.69658	43.09262	2.11894
	36	84.02481	83.27000	43.43617	2.17651
	37	83.62008	82.83750	43.20293	2.13236
	38	83.16927	82.31450	47.24475	2.12035
	39	82.75748	81.84975	40.91708	2.22484
	40	82.30192	81.48350	39.23056	2.18411
	41	81.91385	81.14350	38.19535	2.21040
	42	81.49658	80.66825	38.25772	2.19813
	43	81.08921	80.41867	37.79429	2.19575
	44	80.69565	79.90308	38.21130	2.17254
	45	80.35921	79.61125	37.62721	2.20507
	46	80.09288	79.25383	37.99171	2.17941
	47	79.72515	78.92325	40.41724	2.14560
	48	79.38842	78.54658	38.31770	2.18624
	49	78.97525	78.14267	37.98549	2.14510
	50	78.72465	77.90125	38.09214	2.18690
	51	78.40342	77.54292	38.07632	2.15822
	52	78.09369	77.35508	37.78068	2.17341
	53	77.72271	77.01883	37.84474	2.14625
	54	77.48590	76.70117	37.80996	2.22294
	55	77.19352	76.33383	39.88052	2.18479
	56	76.93204	76.08900	38.45126	2.18985
	57	76.63294	75.98308	38.25102	2.18378
	58	76.36608	75.60383	37.79893	2.15225
	59	76.07808	75.28250	38.24181	2.16881
	60	75.80706	75.00567	37.98667	2.17879
	61	75.60208	74.79950	38.02332	2.15476
	62	75.36435	74.63592	38.45460	2.19549
	63	75.09731	74.39233	38.02981	2.17093
	64	74.86629	74.18958	38.43359	2.17233
	65	74.65179	73.93150	37.98515	2.18272
	66	74.42592	73.72642	38.31955	2.18758
	67	74.19890	73.55267	40.63158	2.15245
	68	73.96475	73.20175	40.47444	2.22649
	69	73.73756	72.99817	40.97196	2.20529
	70	73.55946	72.70575	41.09220	2.14608
	71	73.34452	72.72725	39.22627	2.20431
	72	73.09967	72.48383	37.89845	2.17767
	73	72.93198	72.16167	38.19481	2.31955
	74	72.67388	71.95333	38.37245	2.15437
	75	72.56317	71.75042	42.73299	2.13524
	76	72.35667	71.62700	38.24883	2.29807
	77	72.14262	71.40417	41.08779	2.16802
	78	71.97098	71.29917	38.58059	2.16633
	79	71.79371	71.11175	38.36645	2.16524
	80	71.62248	70.93175	39.12275	2.18586
	81	71.37823	70.72742	38.07933	2.17683
	82	71.26679	70.53483	37.96070	2.12612
	83	71.11188	70.43650	38.01138	2.17756
	84	70.96160	70.26083	38.26051	2.18349
	85	70.74831	70.09092	41.07306	2.18416
	86	70.58202	69.94500	38.15806	2.19080
	87	70.42921	69.78900	39.86589	2.17785
	88	70.31000	69.57908	37.95608	2.16896
